Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Lub_Stress_Index,Thermal_Efficiency,Power_Load_Index
828,3.13,6.28,2.31,76.05,82.96,238.0365,0.027844741098753484,5199.84
498,3.08,8.26,2.86,75.18,70.08,231.55440000000002,0.04081049645968943,4113.48
714,2.57,4.14,2.62,75.07,79.56,192.92989999999998,0.0329311170272603,2955.9599999999996
811,2.83,5.54,2.89,84.24,72.31,238.39919999999998,0.039966804042759776,4492.94
1011,4.57,11.47,5.79,75.32,68.58,344.2124,0.08442693432094862,11596.17
983,3.18,9.4,5.25,75.67,76.86,240.63060000000002,0.06830600204189409,9240.2
629,2.68,4.91,5.2,73.75,85.63,197.65,0.06072637384954177,3088.39
487,3.09,4.1,5.02,76.3,81.79,235.76699999999997,0.06137668891347487,1996.6999999999998
678,2.06,8.75,1.76,75.99,91.52,156.5394,0.01923076712950534,5932.5
829,3.74,5.94,4.79,76.29,72.6,285.32460000000003,0.06597795234463466,4924.26
666,3.75,5.08,3.41,77.1,88.89,289.125,0.03836201615907119,3383.28
610,3.92,8.23,3.33,75.69,75.67,296.7048,0.044006866128338026,5020.3
466,3.52,6.48,2.67,76.21,64.62,268.25919999999996,0.04131847085755635,3019.6800000000003
516,3.92,6.76,2.79,74.24,82.42,291.02079999999995,0.033851002929992366,3488.16
952,3.16,5.77,2.67,74.2,75.67,234.472,0.035284784553352114,5493.04
687,3.64,7.68,3.37,82.75,74.96,301.21000000000004,0.04495730456812906,5276.16
631,3.77,14.77,2.33,77.99,82.74,294.0223,0.028160499376299327,9319.869999999999
631,4.54,2.3,3.61,76.33,80.71,346.5382,0.044728033115099354,1451.3
933,2.21,5.66,3.08,79.79,68.06,176.3359,0.045254180832474164,5280.78
814,2.58,5.51,0.76,75.77,84.19,195.48659999999998,0.00902719930785137,4485.139999999999
657,2.21,3.6,1.03,75.94,71.24,167.82739999999998,0.01445816753815728,2365.2000000000003
765,2.32,7.77,2.48,77.43,85.2,179.6376,0.029107977804227955,5944.049999999999
805,3.5,5.74,1.37,76.81,78.09,268.83500000000004,0.017543857402502572,4620.7
632,2.37,3.34,2.23,76.96,76.79,182.3952,0.02904023583276001,2110.88
855,2.34,5.9,2.05,85.95,74.4,201.123,0.02755375973739788,5044.5
633,2.16,15.12,1.61,77.05,75.56,166.428,0.021307567322979445,9570.96
915,2.52,7.01,2.81,87.81,75.69,221.2812,0.03712511069822821,6414.15
499,1.95,8.8,7.48,75.1,69.62,146.445,0.10744037525992886,4391.200000000001
496,2.33,2.68,1.87,75.69,78.92,176.3577,0.023694877889650547,1329.28
989,4.96,6.15,2.35,74.04,71.92,367.2384,0.032675190117465225,6082.35
456,2.88,7.33,1.35,77.75,74.98,223.92,0.018004798879061232,3342.48
589,3.16,4.58,2.71,77.53,77.27,244.99480000000003,0.03507182152558282,2697.62
770,1.86,3.74,0.18,76.94,80.41,143.10840000000002,0.0022385272679359197,2879.8
801,3.62,4.22,1.41,76.88,70.8,278.30559999999997,0.019915251424399514,3380.22
586,2.58,5.69,2.66,76.23,72.43,196.67340000000002,0.036725108832650996,3334.34
537,4.78,7.62,1.37,78.02,82.3,372.9356,0.016646413530204917,4091.94
826,4.77,6.25,2.51,78.46,66.23,374.2541999999999,0.037898227706745016,5162.5
889,2.38,7.57,3.05,76.72,87.45,182.59359999999998,0.034877068624691976,6729.7300000000005
786,2.15,4.96,1.36,77.68,78.05,167.012,0.01742472550612101,3898.56
1315,3.66,6.46,2.1,78.71,79.16,288.0786,0.026528546421355936,8494.9
453,2.59,10.34,3.15,77.35,85.15,200.33649999999997,0.03699353646582073,4684.0199999999995
679,2.74,12.03,4.11,75.54,79.95,206.97960000000003,0.051407123026000874,8168.37
654,4.77,7.05,2.15,78.94,78.28,376.5438,0.02746550492264883,4610.7
610,4.68,4.66,1.91,74.6,81.23,349.12799999999993,0.023513477346611182,2842.6
844,2.43,4.24,1.17,77.94,86.86,189.3942,0.013469950095561812,3578.5600000000004
1367,1.65,7.68,2.06,84.85,75.23,140.00249999999997,0.027382689434708302,10498.56
576,0.37,6.93,1.31,74.26,75.73,27.476200000000002,0.017298294295748806,3991.68
778,3.54,5.21,1.73,73.85,73.39,261.429,0.023572690615521103,4053.38
770,3.47,5.95,1.46,76.67,86.71,266.04490000000004,0.016837733036820086,4581.5
699,2.11,9.32,2.73,76.57,80.83,161.56269999999998,0.033774584464359214,6514.68
723,2.54,5.99,2.49,77.77,82.21,197.5358,0.030288282412324244,4330.77
954,2.84,7.84,1.96,77.77,76.56,220.86679999999998,0.025600832601772126,7479.36
932,2.93,6.02,1.69,75.75,74.7,221.94750000000002,0.02262382561930045,5610.639999999999
